id,title,listingType,propertyType,subType,price,bedrooms,bathrooms,carPark,builtUpSqft,landSqft,tenure,furnishing,status,featured,isNew,address,area,city,state,postedDate,description,coverImage,image2,image3,image4,image5,image6,image7,image8,image9,image10
rent-018,"Placeholder Rent Property #018",rent,residential,Condo,1560,2,1,1,980,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #018. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-019,"Placeholder Rent Property #019",rent,residential,Condo,1580,3,2,2,990,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #019. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-020,"Placeholder Rent Property #020",rent,residential,Condo,1600,4,1,1,1000,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #020. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-021,"Placeholder Rent Property #021",rent,residential,Condo,1620,2,2,2,1010,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #021. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-022,"Placeholder Rent Property #022",rent,residential,Condo,1640,3,1,1,1020,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #022. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-023,"Placeholder Rent Property #023",rent,residential,Condo,1660,4,2,2,1030,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #023. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-024,"Placeholder Rent Property #024",rent,residential,Condo,1680,2,1,1,1040,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #024. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-025,"Placeholder Rent Property #025",rent,residential,Condo,1700,3,2,2,1050,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #025. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-026,"Placeholder Rent Property #026",rent,residential,Condo,1720,4,1,1,1060,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #026. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-027,"Placeholder Rent Property #027",rent,residential,Condo,1740,2,2,2,1070,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #027. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-028,"Placeholder Rent Property #028",rent,residential,Condo,1760,3,1,1,1080,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #028. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-029,"Placeholder Rent Property #029",rent,residential,Condo,1780,4,2,2,1090,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #029. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-030,"Placeholder Rent Property #030",rent,residential,Condo,1800,2,1,1,1100,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #030. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-031,"Placeholder Rent Property #031",rent,residential,Condo,1820,3,2,2,1110,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #031. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-032,"Placeholder Rent Property #032",rent,residential,Condo,1840,4,1,1,1120,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #032. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-033,"Placeholder Rent Property #033",rent,residential,Condo,1860,2,2,2,1130,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #033. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-034,"Placeholder Rent Property #034",rent,residential,Condo,1880,3,1,1,1140,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #034. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-035,"Placeholder Rent Property #035",rent,residential,Condo,1900,4,2,2,1150,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #035. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-036,"Placeholder Rent Property #036",rent,residential,Condo,1920,2,1,1,1160,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #036. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-037,"Placeholder Rent Property #037",rent,residential,Condo,1940,3,2,2,1170,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #037. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-038,"Placeholder Rent Property #038",rent,residential,Condo,1960,4,1,1,1180,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #038. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-039,"Placeholder Rent Property #039",rent,residential,Condo,1980,2,2,2,1190,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #039. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-040,"Placeholder Rent Property #040",rent,residential,Condo,2000,3,1,1,1200,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #040. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-041,"Placeholder Rent Property #041",rent,residential,Condo,2020,4,2,2,1210,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #041. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-042,"Placeholder Rent Property #042",rent,residential,Condo,2040,2,1,1,1220,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #042. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-043,"Placeholder Rent Property #043",rent,residential,Condo,2060,3,2,2,1230,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #043. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-044,"Placeholder Rent Property #044",rent,residential,Condo,2080,4,1,1,1240,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #044. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-045,"Placeholder Rent Property #045",rent,residential,Condo,2100,2,2,2,1250,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #045. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-046,"Placeholder Rent Property #046",rent,residential,Condo,2120,3,1,1,1260,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #046. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-047,"Placeholder Rent Property #047",rent,residential,Condo,2140,4,2,2,1270,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #047. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-048,"Placeholder Rent Property #048",rent,residential,Condo,2160,2,1,1,1280,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #048. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-049,"Placeholder Rent Property #049",rent,residential,Condo,2180,3,2,2,1290,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #049. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-050,"Placeholder Rent Property #050",rent,residential,Condo,2200,4,1,1,1300,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #050. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-051,"Placeholder Rent Property #051",rent,residential,Condo,2220,2,2,2,1310,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #051. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-052,"Placeholder Rent Property #052",rent,residential,Condo,2240,3,1,1,1320,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #052. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-053,"Placeholder Rent Property #053",rent,residential,Condo,2260,4,2,2,1330,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #053. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-054,"Placeholder Rent Property #054",rent,residential,Condo,2280,2,1,1,1340,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #054. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-055,"Placeholder Rent Property #055",rent,residential,Condo,2300,3,2,2,1350,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #055. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-056,"Placeholder Rent Property #056",rent,residential,Condo,2320,4,1,1,1360,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #056. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-057,"Placeholder Rent Property #057",rent,residential,Condo,2340,2,2,2,1370,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #057. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-058,"Placeholder Rent Property #058",rent,residential,Condo,2360,3,1,1,1380,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #058. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-059,"Placeholder Rent Property #059",rent,residential,Condo,2380,4,2,2,1390,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #059. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-060,"Placeholder Rent Property #060",rent,residential,Condo,2400,2,1,1,1400,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #060. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-061,"Placeholder Rent Property #061",rent,residential,Condo,2420,3,2,2,1410,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #061. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-062,"Placeholder Rent Property #062",rent,residential,Condo,2440,4,1,1,1420,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #062. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
